John,,Mackovic
John,,McEwan
John,,McKay
John,,McLean
John,,Michelosen
John,,Pont
John,,Ralston
John,,Richards
John,,Robinson
Johnny,,Majors
Joseph,,Thompson
Joseph,,Yukica
Jumbo,,Stiehm
Justin,,Fuente
Karl,,Dorrell
Keith,,Gilbertson
Ken,,Cooper
Ken,,Hatfield
Ken,,Niumatalolo
Kirby,,Smart
Kyle,,Flood
Kyle,,Whittingham
L.,,Raffensperger
L.C.,,Turner
Lane,,Kiffin
"Langdon ""Biff""",,Lea
Larry,,Fedora
Larry,,Smith
Lavell,,Edwards
Len,,Casanova
Leon,,Burtnett
Les,,Miles
Lloyd,,Carr
Lou,,Saban
Lowell,,Dawson
Ludlow,,Wray
M.E.,,Witham
M.J.,,Bradshaw
Mack,,Brown
Mal,,Elward
Marchy,,Schwartz
Mark,,Dantonio
Mark,,Richt
Mark,,Whipple
Marv,,Levy
Matt,,Campbell
Matt,,Rhule
Matty,,Bell
Maynard,,Street
Mike,,Gottfried
Mike,,London
Mike,,Neu
Mike,,Norvell
Mike,,Riley
Miles,,Casteel
Milt,,Bruhn
Moray,,Eby
Nick,,Saban
No,,Coach
Noble,,Kizer
O.H.,,Luck
Oliver,,Cutts
Oscar,,Hagberg
Ossie,,Solem
Pappy,,Waldorf
Pat,,Fitzgerald
Pat,,Narduzzi
Pat,,Pasini
"Paul ""Bear""",,Bryant
Paul,,Brown
Paul,,Chryst
Paul,,Dietzel
Paul,,Hackett
Paul,,Johnson
Paul,,Pasqualoni
Paul,,Sheeks
Paul,,Wulff
Pepper,,Rodgers
Pete,,Carroll
Pete,,Elliott
Pete,,Vaughn
Phil,,Arbuckle
Phil,,Dickens
Phil,,King
Phillip,,Fulmer
R.C.,,Slocum
Ralph,,Friedgen
Ralph,H.,Young
Ralph,,Jones
Ralph,,Sasse
Randy,,Edsall
Ray,,Eliot
Ray,,Morrison
Ray,,Nagel
Ray,,Perkins
Ray,,Willsey
Rich,,Brooks
Rich,,Ellerson
Rich,,Rodriguez
Rick,,Forzano
Rick,,Lantz
Rip,,Miller
Rod,,Dowhower
Roy,,Bohler
Russell,,Townsend
S.M.,,Hammond
Sam,,Barry
Samuel,K.,Ruick
