1902-10-25,W,AWAY,16,267,11,5,No Poll,No Poll,No Poll,56
1902-11-01,W,AWAY,16,467,6,5,No Poll,No Poll,No Poll,92
1902-11-08,L,AWAY,16,308,5,12,No Poll,No Poll,No Poll,64
1902-11-15,W,HOME,16,467,92,0,No Poll,No Poll,No Poll,7
1902-11-22,W,AWAY,16,264,22,0,No Poll,No Poll,No Poll,36
1902-11-27,T,AWAY,16,103,6,6,No Poll,No Poll,No Poll,106
1903-10-03,W,HOME,16,122,12,0,No Poll,No Poll,No Poll,77
1903-10-10,W,HOME,16,128,28,0,No Poll,No Poll,No Poll,65
1903-10-17,W,AWAY,16,121,56,0,No Poll,No Poll,No Poll,36
1903-10-24,W,HOME,16,467,52,0,No Poll,No Poll,No Poll,7
1903-10-29,W,HOME,16,467,46,0,No Poll,No Poll,No Poll,26
1903-11-07,W,HOME,16,467,28,0,No Poll,No Poll,No Poll,63
1903-11-14,T,AWAY,16,451,0,0,No Poll,No Poll,No Poll,90
1903-11-21,W,AWAY,16,467,35,0,No Poll,No Poll,No Poll,92
1903-11-26,W,AWAY,16,442,34,0,No Poll,No Poll,No Poll,141
1904-10-01,W,HOME,26,193,12,4,No Poll,No Poll,No Poll,141
1904-10-08,W,HOME,26,467,44,0,No Poll,No Poll,No Poll,7
1904-10-15,L,MILWAUKEE,26,42,0,58,No Poll,No Poll,No Poll,150
1904-10-22,W,AWAY,26,467,17,5,No Poll,No Poll,No Poll,92
1904-10-27,W,HOME,26,467,6,0,No Poll,No Poll,No Poll,132
1904-11-05,L,AWAY,26,50,5,24,No Poll,No Poll,No Poll,62
1904-11-19,W,HOME,26,431,10,0,No Poll,No Poll,No Poll,36
1904-11-24,L,AWAY,26,366,0,36,No Poll,No Poll,No Poll,106
1905-09-30,W,HOME,13,466,44,0,No Poll,No Poll,No Poll,89
1905-10-07,W,HOME,13,122,28,0,No Poll,No Poll,No Poll,77
1905-10-14,L,MILWAUKEE,13,388,0,21,No Poll,No Poll,No Poll,150
1905-10-21,L,HOME,13,193,0,5,No Poll,No Poll,No Poll,141
1905-10-28,W,HOME,13,467,142,0,No Poll,No Poll,No Poll,7
1905-11-04,W,HOME,13,365,71,0,No Poll,No Poll,No Poll,36
1905-11-11,L,AWAY,13,271,5,22,No Poll,No Poll,No Poll,56
1905-11-18,W,HOME,13,467,22,0,No Poll,No Poll,No Poll,14
1905-11-24,L,AWAY,13,31,0,32,No Poll,No Poll,No Poll,106
